"currency","train_start","forecast_actual","volatility","actual_val","num_forecast_vals","mspe","mae","mape","pm","optimal_p","optimal_q","optimal_d","optimal_aic","up","lb"
"bitcoin_close",17348,2513.0344094299,372.477501003249,2434.55,1,6159.80252356062,78.4844094299028,0.0322377480149937,Inf,1,0,0,-104.21739557389,2706.16470480407,2333.68720380082
"bitcoin_close",17349,2482.33891039898,362.474554861359,2506.47,1,582.309485332609,24.1310896010232,0.0096275198191174,Inf,1,0,0,-104.948368804592,2670.18352369862,2307.70896883726
"bitcoin_close",17350,2518.18712895901,365.825220389081,2564.06,1,2104.32029754297,45.8728710409864,0.0178907166918818,Inf,1,0,0,-105.22834675644,2707.73407703591,2341.90885664683
"bitcoin_close",17351,2577.05736886331,374.865684786109,2601.64,1,604.305753602538,24.5826311366895,0.009448898055338,Inf,1,0,0,-105.260587929671,2771.29734209505,2396.43165730894
"bitcoin_close",17352,2606.32687356789,361.159366202229,2601.99,1,18.808472343891,4.33687356789324,0.00166675258855462,Inf,1,0,0,-108.04080307654,2793.15481002686,2431.99544382463
"bitcoin_close",17353,2634.39154586111,356.615562455072,2608.56,1,667.26876157449,25.8315458611073,0.00990260751568195,Inf,1,0,0,-109.436120485596,2818.72677861238,2462.1112161573
"bitcoin_close",17354,2612.12556934188,339.320231523519,2518.66,1,8735.81265240228,93.4655693418827,0.0371092443370215,Inf,1,0,0,-112.147057152054,2787.28968177945,2447.96945025593
"bitcoin_close",17355,2547.50386187363,336.592278540826,2571.34,1,568.161480779426,23.8361381263708,0.00926992856890601,Inf,1,0,0,-110.97012669062,2721.3530357681,2384.76075722727
"bitcoin_close",17356,2585.95383626263,341.732718940383,2518.44,1,4558.11808689732,67.5138362626308,0.0268078001709911,Inf,1,0,0,-111.065593971993,2762.45902732523,2420.72630838485
"bitcoin_close",17357,2545.9091065739,338.874002057784,2372.56,1,30049.9127499685,173.349106573898,0.0730641613168466,Inf,1,0,0,-110.562794413671,2720.97811891306,2382.10411685527
"bitcoin_close",17358,2443.81908943542,343.369746697956,2337.79,1,11242.1678065044,106.029089435421,0.045354411403685,Inf,1,0,0,-107.479700156662,2621.52720248484,2278.15745578688
"bitcoin_close",17359,2396.12364398121,279.28747113895,2398.84,1,7.37859002083925,2.71635601879416,0.00113236231628377,Inf,1,0,0,-118.645953768484,2539.83308021076,2260.54560907181
"bitcoin_close",17360,2442.28437678338,284.477651603703,2357.9,1,7120.72304511922,84.3843767833787,0.0357879370555913,Inf,1,0,0,-118.644051613616,2588.661696167,2304.1840445633
"bitcoin_close",17361,2393.89878699076,251.488839791451,2233.34,1,25779.1240799442,160.55878699076,0.07189177957264,Inf,1,0,0,-124.722405828559,2522.94342320996,2271.45458341851
"bitcoin_close",17362,2270.54798317226,257.735745613532,1998.86,1,73814.3602002083,271.687983172257,0.135921466822217,Inf,1,0,0,-119.437719746785,2403.06994661845,2145.33420100491
"bitcoin_close",17363,1998.86,283.223281536479,1929.82,1,4766.52159999993,69.0399999999995,0.0357753572872079,Inf,0,0,1,-108.11105401597,2145.48168555684,1862.25840402036
"bitcoin_close",17364,1930.45733540395,252.535668644005,2228.41,1,88775.7903398864,297.95266459605,0.133706393615201,Inf,0,1,1,-109.983263655977,2060.8502414061,1808.31457276209
"bitcoin_close",17365,2451.21939267156,296.253375162561,2318.88,1,17513.7148526762,132.339392671556,0.0570703928929292,Inf,0,3,0,-103.787338954875,2603.81763446017,2307.5642592976
"bitcoin_close",17366,2375.2048609869,301.246130566391,2273.43,1,10358.1223289035,101.774860986903,0.044767096847892,Inf,0,3,0,-100.311071894049,2530.5989978193,2229.35286725291
"bitcoin_close",17367,2233.89017807031,332.816479470859,2817.6,1,340717.156217185,583.709821929685,0.207165609713829,Inf,2,0,1,-99.1862072862185,2406.48793249881,2073.67145302795
"bitcoin_close",17368,3016.09433234635,579.821254284398,2667.76,1,121336.807091178,348.334332346351,0.13057184017541,Inf,1,1,0,-81.1843712188673,3319.90620359801,2740.08494931361
"bitcoin_close",17369,2598.57092079532,560.655652379146,2810.12,1,44753.0129123468,211.549079204677,0.0752811549701355,Inf,1,0,0,-80.8878951331586,2893.97556843397,2333.31991605482
"bitcoin_close",17370,2720.58663259517,603.140457646664,2730.4,1,96.3021798222053,9.8133674048313,0.00359411346499828,Inf,1,0,0,-79.4915423493069,3038.819985124,2435.67952747734
"bitcoin_close",17371,2677.7562169114,583.016229323637,2754.86,1,5944.99336657371,77.1037830885989,0.0279882763874022,Inf,1,0,0,-80.633873607406,2985.08479597634,2402.0685666527
"bitcoin_close",17372,2652.78237678675,578.945316695456,2576.48,1,5822.05270330707,76.3023767867494,0.0296149695657445,Inf,1,0,0,-80.4221066661284,2958.00198337327,2379.05666667781
"bitcoin_close",17373,2505.99680105581,545.097019855464,2529.45,1,550.052540715981,23.4531989441948,0.00927205477245836,Inf,1,0,0,-80.4397896153646,2793.32272773578,2248.22570788031
"bitcoin_close",17374,2474.31961883057,537.594183073603,2671.78,1,38990.6021315777,197.460381169433,0.0739059283209818,Inf,1,0,0,-80.5708898354251,2757.67423847445,2220.08005540085
"bitcoin_close",17375,2607.79510279532,581.184757027824,2809.01,1,40487.4348570913,201.214897204683,0.0716319618672356,Inf,1,0,0,-79.4916921324098,2914.52820635224,2333.34344932442
"bitcoin_close",17376,2729.74454499561,621.67311406951,2726.45,1,10.8540267280754,3.29454499560643,0.00120836435496944,Inf,1,0,0,-78.2789559063643,3058.2216130694,2436.54849899989
