currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic
bitcoin,7/17/2017,1927.452163,253.9104593,2228.41,1,90575.61994,300.9578375,0.135054966,Inf,0,1,1,-109.9832637
ethereum,7/17/2017,157.36,45.65827971,193.42,1,1300.3236,36.06,0.186433668,Inf,0,0,1,-66.76029631
dji,7/18/2017,21569.50464,197.9623132,21574.73047,1,27.3092541,5.225825686,0.00024222,Inf,5,5,0,-272.393419
bitcoin,7/18/2017,2470.65772,311.7533912,2318.88,1,23036.47627,151.77772,0.065453029,Inf,0,3,0,-103.787339
ethereum,7/18/2017,193.42,63.22853956,234.39,1,1678.5409,40.97,0.174794147,Inf,0,0,1,-59.89805722
dji,7/19/2017,21588.25839,210.1725476,21640.75,1,2755.368687,52.49160588,0.002425591,Inf,5,5,0,-270.1419981
bitcoin,7/19/2017,2384.018142,318.8804575,2273.43,1,12229.73704,110.5881415,0.048643742,Inf,0,3,0,-100.3110719
ethereum,7/19/2017,234.39,83.46125827,199.7,1,1203.3961,34.69,0.173710566,Inf,0,0,1,-54.9859603
dji,7/20/2017,21568.59767,195.6678911,21611.7793,1,1864.653557,43.18163448,0.00199806,Inf,5,5,0,-272.621628
bitcoin,7/20/2017,2224.778893,336.7121292,2817.6,1,351436.8654,592.8211075,0.210399314,Inf,2,0,1,-99.18620729
ethereum,7/20/2017,181.6293397,62.039758,227.26,1,2082.157155,45.63066025,0.200786149,Inf,2,0,1,-52.16822597
dji,7/21/2017,21608.60706,166.4733844,21580.07031,1,814.3462494,28.53675261,0.001322366,Inf,5,5,0,-279.0844349
bitcoin,7/21/2017,3024.839251,623.3980465,2667.76,1,127505.5916,357.0792511,0.133849841,Inf,1,1,0,-81.18437122
ethereum,7/21/2017,227.26,87.15020145,218.31,1,80.1025,8.95,0.040996748,Inf,0,0,1,-50.73349563
dji,7/22/2017,21538.84336,161.6246847,21513.16992,1,659.1254001,25.67343764,0.001193382,Inf,5,5,0,-280.4796323
bitcoin,7/22/2017,2623.893371,573.8620069,2810.12,1,34680.35717,186.2266285,0.066269992,Inf,1,0,0,-80.88789513
ethereum,7/22/2017,218.31,83.96676047,229.48,1,124.7689,11.17,0.048675266,Inf,0,0,1,-50.56349257
dji,7/23/2017,21529.74751,162.2864398,21513.16992,1,274.8164875,16.57758992,0.000770579,Inf,5,5,0,-280.1846252
bitcoin,7/23/2017,2739.500217,612.5929711,2730.4,1,82.81395835,9.100217489,0.003332925,Inf,1,0,0,-79.49154235
ethereum,7/23/2017,229.48,88.6249072,225.95,1,12.4609,3.53,0.015622925,Inf,0,0,1,-50.32901007
dji,7/24/2017,21497.89922,162.4061267,21513.16992,1,233.1943997,15.27070397,0.00070983,Inf,5,5,0,-280.2445225
bitcoin,7/24/2017,2670.898779,586.4845687,2754.86,1,7049.486624,83.96122095,0.030477491,Inf,1,0,0,-80.63387361
