"currency","train_start","num_forecast_vals","mspe","mae","mape","pm","optimal_p","forecast","actual","upper_bound","lower_bound"
"bitcoin_close",17318,1,29948.3620795773,173.055950719925,0.0710833421864104,Inf,2,2261.49404928007,2434.55,2451.54900335496,2086.17299834928
"bitcoin_close",17319,1,14584.8950542542,120.767938850732,0.0481824792839061,Inf,2,2627.23793885073,2506.47,2818.39113370438,2449.0494256787
"bitcoin_close",17320,1,20954.9510883725,144.758250501906,0.0564566548762142,Inf,2,2708.81825050191,2564.06,2919.2944046891,2513.5170685307
"bitcoin_close",17321,1,3053.96135410156,55.262657863168,0.0212414699432543,Inf,2,2546.37734213683,2601.64,2722.2513931726,2381.86582797231
"bitcoin_close",17322,1,40505.0524204452,201.258670423028,0.0773479799780278,Inf,2,2400.73132957697,2601.99,2553.56121527386,2257.04826746998
"bitcoin_close",17323,1,3683.96024353246,60.6956361160542,0.023267870440417,Inf,2,2669.25563611605,2608.56,2840.35535571534,2508.46276561861
"bitcoin_close",17324,1,7338.47519080622,85.6649005766435,0.03401209396133,Inf,2,2604.32490057664,2518.66,2771.5290952209,2447.20800494535
"bitcoin_close",17325,1,347.732442401904,18.6475854308783,0.00725208857283684,Inf,2,2552.69241456912,2571.34,2716.39951714836,2398.8513185422
"bitcoin_close",17326,1,100056.55262799,316.317170934476,0.125600439531804,Inf,2,2834.75717093448,2518.44,3006.77594771627,2672.57965272334
"bitcoin_close",17327,1,7945.10427757927,89.1353144246391,0.0375692561725053,Inf,2,2461.69531442464,2372.56,2635.3270960655,2299.50347723727
"bitcoin_close",17328,1,541.013503504753,23.259696977922,0.00994943813512847,Inf,2,2361.04969697792,2337.79,2499.56142823382,2230.2135121114
"bitcoin_close",17329,1,633.904047435117,25.1774511703452,0.0104956775651336,Inf,2,2373.66254882965,2398.84,2504.05499469687,2250.05996579503
"bitcoin_close",17330,1,16896.3984531641,129.986147158703,0.0551279304290696,Inf,2,2487.8861471587,2357.9,2610.76645982324,2370.78941241004
"bitcoin_close",17331,1,4086.69752171336,63.9272830778327,0.0286240711570261,Inf,2,2169.41271692217,2233.34,2282.17125319256,2062.22540475867
"bitcoin_close",17332,1,10277.3103602377,101.377070189652,0.0507174440379277,Inf,2,2100.23707018965,1998.86,2192.30366342133,2012.03684717425
"bitcoin_close",17333,1,626.381282201003,25.0276103973392,0.0129688833141636,Inf,2,1954.84761039734,1929.82,2048.64195966907,1865.34751074486
"bitcoin_close",17334,1,160535.905855729,400.669322329186,0.179800540443269,Inf,2,1827.74067767081,2228.41,1915.647788202,1743.86753420264
"bitcoin_close",17335,1,89938.595898261,299.897642368627,0.129328659684256,Inf,2,2618.77764236863,2318.88,2839.64717356821,2415.08748129165
"bitcoin_close",17336,1,40669.592099877,201.667032754184,0.0887060664960803,Inf,2,2071.76296724582,2273.43,2227.91009179357,1926.55969747674
"bitcoin_close",17337,1,860300.766937383,927.523998038532,0.329189380337355,Inf,2,1890.07600196147,2817.6,2035.54805204056,1755.00022689686
"bitcoin_close",17338,1,290988.569675597,539.433563727358,0.202204682477943,Inf,2,2128.32643627264,2667.76,2374.85976440301,1907.38564324268
"bitcoin_close",17339,1,41968.2319893396,204.861494647822,0.0729013332696902,Inf,2,3014.98149464782,2810.12,3316.01579089569,2741.2756712517
"bitcoin_close",17340,1,33501.4941471422,183.034133830666,0.0670356481946477,Inf,2,2913.43413383067,2730.4,3201.03649914194,2651.67187392113
"bitcoin_close",17341,1,440245.995686359,663.510358386634,0.240850844829368,Inf,2,2091.34964161337,2754.86,2300.96418320724,1900.8306845437
"bitcoin_close",17342,1,272449.642664368,521.967089637238,0.20258922624559,Inf,2,3098.44708963724,2576.48,3440.35902966371,2790.51525858332
"bitcoin_close",17343,1,68684.3790501155,262.07704792697,0.103610289955117,Inf,2,2267.37295207303,2529.45,2587.43250650038,1986.90404131383
"bitcoin_close",17344,1,46940.1832020308,216.656832807163,0.0810908206540818,Inf,2,2455.12316719284,2671.78,2768.73608471048,2177.03297882842
"bitcoin_close",17345,1,2413363.45697382,1553.50038846916,0.553041957297823,Inf,2,4362.51038846916,2809.01,4875.35749405145,3903.6105378369
"bitcoin_close",17346,1,6746.13907610738,82.1348834302903,0.0301252116966349,Inf,2,2644.31511656971,2726.45,2977.80332068939,2348.17470554109
"bitcoin_close",17347,1,5991.27925739785,77.403354303272,0.0280733772562081,Inf,2,2679.77664569673,2757.18,3013.77599933787,2382.79250760485
"bitcoin_close",17348,1,7304.60725518192,85.466995121988,0.0297241352751285,Inf,2,2960.80699512199,2875.34,3289.04917475895,2665.32289320538
"bitcoin_close",17349,1,12769.7339412669,113.003247481066,0.0415719053663246,Inf,2,2831.26324748107,2718.26,3082.18567339989,2600.76855386025
"bitcoin_close",17350,1,58788.7519466737,242.463918855309,0.0894479663165596,Inf,2,2953.13391885531,2710.67,3228.51070543832,2701.24547767597
"bitcoin_close",17351,1,690.984162608323,26.286577613077,0.00937223105720588,Inf,2,2831.01657761308,2804.73,3102.32227851882,2583.43722643367
"bitcoin_close",17352,1,968.064686183169,31.1137379011775,0.0107441021244514,Inf,2,2927.00373790118,2895.89,3165.52440222743,2706.45548511931
"bitcoin_close",17353,1,89519.2583790973,299.197691132631,0.091978471932095,Inf,2,2953.71230886737,3252.91,3191.53658338413,2733.61002627258
"bitcoin_close",17354,1,1853.56859851957,43.0530904642114,0.0133957355968722,Inf,2,3170.88690953579,3213.94,3447.85692572678,2916.16618950799
