"currency","train_start","forecast_actual","volatility","actual_val","num_forecast_vals","mspe","mae","mape","pm","optimal_p","optimal_q","optimal_d","optimal_aic","up","lb"
"bitcoin_close",17348,2517.20924944123,346.968998507965,2434.55,1,6832.55151818813,82.6592494412339,0.0339525782757528,Inf,1,0,0,-104.21739557389,2696.66488855513,2349.69589004717
"bitcoin_close",17349,2489.80072141194,338.446345818888,2506.47,1,277.864848646356,16.66927858806,0.00665049994137573,Inf,1,0,0,-104.948368804592,2664.76802616153,2326.32168034264
"bitcoin_close",17350,2449.08112856801,332.113020742801,2564.06,1,13220.1408757732,114.978871431986,0.044842504244045,Inf,1,0,0,-105.22834675644,2620.7607978457,2288.6477771029
"bitcoin_close",17351,2529.67577878546,348.93198690056,2601.64,1,5178.84913501492,71.9642212145377,0.0276610988509316,Inf,1,0,0,-105.260587929671,2710.15089671496,2361.2189098144
"bitcoin_close",17352,2590.36279255638,338.439642597717,2601.99,1,135.191952937039,11.6272074436229,0.00446858267849718,Inf,1,0,0,-108.04080307654,2765.1040145904,2426.66437199269
"bitcoin_close",17353,2607.05454009539,310.439885198317,2608.56,1,2.26640952437947,1.50545990460705,0.000577122973827342,Inf,1,0,0,-109.436120485596,2766.8911710681,2456.45128586979
"bitcoin_close",17354,2700.42105728252,317.193565834019,2518.66,1,33037.0819444584,181.761057282517,0.0721657775493782,Inf,1,0,0,-112.147057152054,2863.6710566046,2546.47749077058
"bitcoin_close",17355,2521.12892513661,309.976269603197,2571.34,1,2521.15203893704,50.2110748633909,0.0195272017171556,Inf,1,0,0,-110.97012669062,2680.8765684205,2370.9002988173
"bitcoin_close",17356,2578.59914623208,318.654220529002,2518.44,1,3619.12287537222,60.1591462320753,0.0238874645542778,Inf,1,0,0,-111.065593971993,2742.84383848865,2424.18961795965
"bitcoin_close",17357,2543.53744081999,316.215207256823,2372.56,1,29233.2852693548,170.977440819995,0.0720645382287464,Inf,1,0,0,-110.562794413671,2706.55433196672,2390.3391247099
"bitcoin_close",17358,2434.35975867826,309.889354992419,2337.79,1,9325.71829117735,96.5697586782599,0.0413081408844506,Inf,1,0,0,-107.479700156662,2594.23049259793,2284.34113760551
"bitcoin_close",17359,2441.96331239991,260.769747805244,2398.84,1,1859.62007234054,43.1233123999136,0.0179767355888319,Inf,1,0,0,-118.645953768484,2575.82655884417,2315.05681103893
"bitcoin_close",17360,2418.81313463832,259.246465579299,2357.9,1,3710.40997146634,60.9131346383219,0.025833637829561,Inf,1,0,0,-118.644051613616,2551.90710607488,2292.66064049558
"bitcoin_close",17361,2399.68948249482,196.952869429022,2233.34,1,27672.1503262943,166.34948249482,0.0744846205659773,Inf,1,0,0,-124.722405828559,2500.18566369922,2303.2327942702
"bitcoin_close",17362,2289.23107390575,205.572675881232,1998.86,1,84315.3605611779,290.371073905749,0.145268339906621,Inf,1,0,0,-119.437719746785,2394.32380021412,2188.75112433289
"bitcoin_close",17363,2050.68660965115,265.81235089914,1929.82,1,14608.7373285631,120.866609651149,0.0626310275834785,Inf,0,0,1,-108.11105401597,2187.89513465961,1922.08278376047
"bitcoin_close",17364,1901.13196974335,179.859921829207,2228.41,1,107110.909088672,327.27803025665,0.146866164779663,Inf,0,1,1,-109.983263655977,1993.18773753088,1813.32781570167
"bitcoin_close",17365,2241.68561659835,235.562972211189,2318.88,1,5958.97282876138,77.1943834016529,0.0332895119202602,Inf,0,3,0,-103.787338954875,2362.55917713274,2126.99620492155
"bitcoin_close",17366,2139.41723534805,223.385330830529,2273.43,1,17959.421089658,134.012764651946,0.058947389913895,Inf,0,3,0,-100.311071894049,2254.02348917052,2030.63815833999
"bitcoin_close",17367,2169.86195759115,277.922003023084,2817.6,1,419564.57158365,647.738042408851,0.229889992337043,Inf,2,0,1,-99.1862072862185,2313.26803478499,2035.34603176191
"bitcoin_close",17368,3045.14146529305,505.420206180737,2667.76,1,142416.770346733,377.381465293055,0.141460050864041,Inf,1,1,0,-81.1843712188673,3308.31952509624,2802.89931891551
"bitcoin_close",17369,2575.87231651278,524.771991462613,2810.12,1,54871.9772191277,234.247683487218,0.0833586051439859,Inf,1,0,0,-80.8878951331586,2851.58753321981,2326.8155417572
"bitcoin_close",17370,2765.98792448736,582.778946059245,2730.4,1,1266.50036931832,35.587924487364,0.0130339600378567,Inf,1,0,0,-79.4915423493069,3072.68360048224,2489.90465442299
"bitcoin_close",17371,2724.31585468389,570.282991914359,2754.86,1,932.944813091712,30.5441453161111,0.0110873675308767,Inf,1,0,0,-80.633873607406,3024.33892381789,2454.05593190353
"bitcoin_close",17372,2595.28524722895,543.263017950269,2576.48,1,353.637323341985,18.8052472289514,0.00729881358634704,Inf,1,0,0,-80.4221066661284,2881.09298428998,2337.82996633971
"bitcoin_close",17373,2507.38649843121,524.897742603798,2529.45,1,486.798101475954,22.063501568789,0.00872264783600742,Inf,1,0,0,-80.4397896153646,2783.53325357925,2258.63551097545
"bitcoin_close",17374,2511.96983360029,524.191560550075,2671.78,1,25539.2892847046,159.810166399715,0.0598141188270422,Inf,1,0,0,-80.5708898354251,2787.70197344052,2263.51041289044
"bitcoin_close",17375,2657.99854667492,557.834229233087,2809.01,1,22804.4590353539,151.011453325083,0.0537596709606173,Inf,1,0,0,-79.4916921324098,2951.50968194737,2393.67545271428
"bitcoin_close",17376,2797.69931999146,592.545747751341,2726.45,1,5076.4655992451,71.2493199914575,0.0261326340081269,Inf,1,0,0,-78.2789559063643,3109.61592101287,2517.07017326153
