"currency","train_start","num_forecast_vals","mspe","mae","mape","pm","optimal_p","forecast","actual"
"bitcoin_close",17318,1,29948.3620795773,173.055950719925,0.0710833421864104,Inf,2,2261.49404928007,2434.55
"bitcoin_close",17319,1,14584.8950542542,120.767938850732,0.0481824792839061,Inf,2,2627.23793885073,2506.47
"bitcoin_close",17320,1,20954.9510883725,144.758250501906,0.0564566548762142,Inf,2,2708.81825050191,2564.06
"bitcoin_close",17321,1,3053.96135410156,55.262657863168,0.0212414699432543,Inf,2,2546.37734213683,2601.64
"bitcoin_close",17322,1,40505.0524204452,201.258670423028,0.0773479799780278,Inf,2,2400.73132957697,2601.99
"bitcoin_close",17323,1,3683.96024353246,60.6956361160542,0.023267870440417,Inf,2,2669.25563611605,2608.56
"bitcoin_close",17324,1,7338.47519080622,85.6649005766435,0.03401209396133,Inf,2,2604.32490057664,2518.66
"bitcoin_close",17325,1,347.732442401904,18.6475854308783,0.00725208857283684,Inf,2,2552.69241456912,2571.34
"bitcoin_close",17326,1,100056.55262799,316.317170934476,0.125600439531804,Inf,2,2834.75717093448,2518.44
"bitcoin_close",17327,1,7945.10427757927,89.1353144246391,0.0375692561725053,Inf,2,2461.69531442464,2372.56
"bitcoin_close",17328,1,541.013503504753,23.259696977922,0.00994943813512847,Inf,2,2361.04969697792,2337.79
"bitcoin_close",17329,1,633.904047435117,25.1774511703452,0.0104956775651336,Inf,2,2373.66254882965,2398.84
"bitcoin_close",17330,1,16896.3984531641,129.986147158703,0.0551279304290696,Inf,2,2487.8861471587,2357.9
"bitcoin_close",17331,1,4086.69752171336,63.9272830778327,0.0286240711570261,Inf,2,2169.41271692217,2233.34
"bitcoin_close",17332,1,10277.3103602377,101.377070189652,0.0507174440379277,Inf,2,2100.23707018965,1998.86
"bitcoin_close",17333,1,626.381282201003,25.0276103973392,0.0129688833141636,Inf,2,1954.84761039734,1929.82
"bitcoin_close",17334,1,160535.905855729,400.669322329186,0.179800540443269,Inf,2,1827.74067767081,2228.41
"bitcoin_close",17335,1,89938.595898261,299.897642368627,0.129328659684256,Inf,2,2618.77764236863,2318.88
