currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic,risk_adj_return,buy_sell,profits
ethereum,17382,223.2920976,76.13838541,223.07,1,0.049327339,0.222097588,0.000995641,Inf,1,0,0,-54.59860997,-0.029027858,0,0
ethereum,17383,220.9013782,74.70829372,256.51,1,1267.973944,35.60862177,0.138819624,Inf,1,0,0,-55.18865484,-0.20740404,-1,0
ethereum,17384,239.5982014,81.5403527,261.57,1,482.7599341,21.97179861,0.083999689,Inf,1,0,0,-54.904887,-0.203597655,-1,-5.06
ethereum,17385,244.429218,84.18948619,269.18,1,612.6012088,24.75078198,0.091948815,Inf,1,0,0,-54.12742498,-0.213079355,-1,-7.61
ethereum,17386,250.6819692,86.81287222,296.77,1,2124.106584,46.08803081,0.15529882,Inf,1,0,0,-53.74260757,0,0,-27.59
ethereum,17387,296.77,110.9784028,296.03,1,0.5476,0.74,0.002499747,Inf,0,0,1,-52.17578956,0,0,0
ethereum,17388,296.03,109.0642163,295.89,1,0.0196,0.14,0.000473149,Inf,0,0,1,-53.03043349,0,0,0
ethereum,17389,295.89,103.5750698,308.86,1,168.2209,12.97,0.041993136,Inf,0,0,1,-55.96695601,0,0,0
ethereum,17390,308.86,106.3605152,310.6,1,3.0276,1.74,0.005602061,Inf,0,0,1,-56.90665801,0,0,0
ethereum,17391,310.6,106.3759199,298.06,1,157.2516,12.54,0.042072066,Inf,0,0,1,-57.22103721,0,0,0
ethereum,17392,298.06,96.54590997,300.1,1,4.1616,2.04,0.006797734,Inf,0,0,1,-60.42519517,0,0,0
ethereum,17393,300.1,95.56077168,289.82,1,105.6784,10.28,0.035470292,Inf,0,0,1,-61.40731609,0.007974663,0,0
ethereum,17394,290.34513,65.84980503,302.27,1,142.2025241,11.92486998,0.039451054,Inf,0,2,1,-75.47884158,-0.12192777,-1,0
ethereum,17395,294.4299788,64.30053826,301.46,1,49.42119839,7.030021223,0.023319914,Inf,0,2,1,-77.9184618,0,0,0.81
ethereum,17396,301.46,65.08159212,295.59,1,34.4569,5.87,0.019858588,Inf,0,0,1,-83.81792509,0,0,0
ethereum,17397,295.59,57.5421193,297.47,1,3.5344,1.88,0.006319965,Inf,0,0,1,-89.79774698,0,0,0
ethereum,17398,297.47,57.26324856,301.43,1,15.6816,3.96,0.013137378,Inf,0,0,1,-90.44522684,0,0,0
ethereum,17399,301.43,57.05110797,321.59,1,406.4256,20.16,0.062688516,Inf,0,0,1,-91.42455042,0,0,0
ethereum,17400,321.59,62.63066034,314.79,1,46.24,6.8,0.021601703,Inf,0,0,1,-89.77267318,0,0,0
ethereum,17401,314.79,61.48984771,317.52,1,7.4529,2.73,0.008597884,Inf,0,0,1,-89.59986647,0,0,0
ethereum,17402,317.52,58.95938844,325.61,1,65.4481,8.09,0.024845674,Inf,0,0,1,-92.52921985,0,0,0
ethereum,17403,325.61,60.67257641,331.92,1,39.8161,6.31,0.019010605,Inf,0,0,1,-92.32776188,0,0,0
