currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic,risk_adj_return,buy_sell,profits
dji,17384,22121.37732,152.9245277,22118.41992,1,8.746208434,2.95739893,0.000133708,Inf,5,4,0,-287.5842896,-0.170935969,-1,0
dji,17385,22092.68122,150.5750817,22118.41992,1,662.4805511,25.73869754,0.001163677,Inf,3,5,0,-287.8482286,-0.16494391,-1,0
dji,17386,22092.84801,155.0339669,22085.33984,1,56.37263653,7.508171317,0.000339962,Inf,5,5,0,-287.1738398,-0.541536846,-1,33.08008
dji,17387,22011.13345,137.0292537,22048.69922,1,1411.18707,37.56576992,0.001703764,Inf,5,5,0,-290.4928128,-0.384415759,-1,36.64062
dji,17388,21995.52483,138.3252114,21844.00977,1,22956.81307,151.5150589,0.006936229,Inf,5,5,0,-289.8898634,-0.381831435,-1,204.68945
dji,17389,21781.03259,164.9345028,21858.32031,1,5973.391341,77.28771792,0.003535849,Inf,4,5,0,-281.6052818,-0.84755121,-1,-14.31054
dji,17390,21720.77708,162.2830899,21993.71094,1,74492.89148,272.9338592,0.012409632,Inf,5,4,0,-280.805996,-0.067023888,0,-135.39063
dji,17391,21980.06675,203.57201,21993.71094,1,186.1638554,13.6441876,0.000620368,Inf,4,3,0,-271.8412504,-0.419030297,-1,0
dji,17392,21909.16033,201.7768498,21993.71094,1,7148.806223,84.55061338,0.003844309,Inf,5,5,0,-272.0606565,0.327877018,1,0
dji,17393,22060.65972,204.1886914,21998.99023,1,3803.125911,61.6694893,0.002803287,Inf,4,4,0,-269.9034329,0.138477312,1,5.27929
dji,17394,22026.85324,201.2099082,22024.86914,1,3.936641426,1.984097131,9.01E-05,Inf,5,5,0,-270.9925275,-0.215326149,-1,25.87891
dji,17395,21985.66002,182.0917636,21750.73047,1,55191.89432,234.9295518,0.010800996,Inf,5,5,0,-274.1654425,-0.752215637,-1,274.13867
dji,17396,21590.17437,213.4442521,21674.50977,1,7112.460372,84.33540403,0.003890995,Inf,5,5,0,-265.1332494,0.360862339,1,76.2207
dji,17397,21752.8521,217.0975434,21703.75,1,2411.01595,49.10209721,0.002262378,Inf,5,5,0,-264.4727327,0.050726928,0,29.24023
dji,17398,21715.00127,221.8006876,21703.75,1,126.5910204,11.2512675,0.000518402,Inf,5,5,0,-264.2005951,-0.497036133,-1,0
dji,17399,21598.65734,211.43867,21703.75,1,11044.46696,105.0926589,0.004842143,Inf,5,5,0,-265.1169133,0.203485193,1,0
dji,17400,21749.22612,223.4861438,21899.89063,1,22699.79422,150.6645088,0.006879692,Inf,5,5,0,-264.5827858,0.599532815,1,196.14063
dji,17401,22042.24473,237.4417234,21812.08984,1,52971.27565,230.1548949,0.010551712,Inf,5,5,0,-261.8127362,-0.238391231,-1,-87.80079
dji,17402,21747.37736,271.454931,21783.40039,1,1297.658342,36.02302516,0.001653692,Inf,5,4,0,-254.9149693,0.115362848,1,28.68945
dji,17403,21814.04976,265.6779887,21813.66992,1,0.144277981,0.379839415,1.74E-05,Inf,5,5,0,-257.0980608,0.422515784,1,30.26953
dji,17404,21918.99952,249.2915136,21808.40039,1,12232.16738,110.5991292,0.0050714,Inf,5,5,0,-260.4070389,-0.061544377,0,-5.26953
dji,17405,21792.38002,260.3060216,21808.40039,1,256.6523154,16.02037189,0.000734596,Inf,5,4,0,-258.6962831,0.172493988,1,0
dji,17406,21850.15086,242.040146,21808.40039,1,1743.101755,41.75047011,0.001914421,Inf,5,4,0,-261.7061385,0.369253434,1,0
dji,17407,21897.60514,241.5813753,21865.36914,1,1039.159856,32.23600248,0.001474295,Inf,5,5,0,-261.4699215,-0.027477541,0,56.96875
dji,17408,21858.68097,243.4050552,21892.42969,1,1138.97627,33.74872249,0.00154157,Inf,5,4,0,-261.2112886,-0.168278162,-1,0
dji,17409,21850.30223,250.3442125,21948.09961,1,9564.328321,97.79738402,0.004455847,Inf,5,4,0,-260.9520938,-0.037392505,0,-55.66992
dji,17410,21938.5517,255.3427532,21987.56055,1,2401.866894,49.00884505,0.002228935,Inf,5,5,0,-259.9632502,0.014885717,0,0
dji,17411,21991.37488,256.2408429,21753.31055,1,56674.62457,238.0643286,0.010943821,Inf,5,5,0,-259.8187939,-0.003139605,0,0
dji,17412,21752.39491,291.6411387,21753.31055,1,0.838393109,0.915638089,4.21E-05,Inf,5,4,0,-251.2740015,0.13697516,1,0
dji,17413,21792.60321,286.8597499,21753.31055,1,1543.913149,39.29266025,0.001806284,Inf,5,4,0,-251.978652,0.019010865,0,0
dji,17414,21758.56628,276.4592793,21753.31055,1,27.62269683,5.255729905,0.000241606,Inf,4,5,0,-253.643845,0.229061502,1,0
dji,17415,21816.6689,276.5997426,21807.64063,1,81.50970357,9.028272457,0.000413996,Inf,4,5,0,-253.6535189,0.359035346,1,54.33008
dji,17416,21907.09804,277.0128712,21784.7793,1,14961.87465,122.318742,0.005614872,Inf,4,5,0,-254.0444621,0.093105632,1,-22.86133
dji,17417,21809.75596,268.2615002,21797.78906,1,143.2066146,11.96689661,0.000548996,Inf,4,5,0,-255.4082532,0.230344057,1,13.00976
dji,17418,21849.56266,224.766397,22057.36914,1,43183.53156,207.8064762,0.009421181,Inf,5,5,0,-265.6735523,-0.574101901,-1,259.58008
dji,17419,21917.94528,242.8555922,22057.36914,1,19439.01192,139.4238571,0.006320965,Inf,3,5,0,-258.8301831,-0.450871093,-1,0
dji,17420,21940.44496,259.329505,22057.36914,1,13671.26328,116.9241775,0.005300912,Inf,5,4,0,-256.8636446,-0.476952086,-1,0
dji,17421,21944.71172,236.20281,22118.85938,1,30327.40847,174.1476628,0.007873266,Inf,5,5,0,-259.233525,-0.596883314,-1,-61.49024
dji,17422,21968.09864,252.5799223,22158.17969,1,36130.80602,190.0810512,0.008578369,Inf,5,5,0,-255.0861373,-0.363937284,-1,-39.32031
dji,17423,22058.55844,273.7319088,22203.48047,1,21002.39401,144.9220273,0.006526996,Inf,4,5,0,-252.4404526,-0.120303584,-1,-45.30078
dji,17424,22168.56739,290.2081383,22268.33984,1,9954.541606,99.77244913,0.004480462,Inf,3,4,0,-249.7340121,-0.391740309,-1,-64.85937
dji,17425,22172.5288,244.5779531,22331.34961,1,25224.05061,158.8208129,0.007112011,Inf,5,5,0,-259.3418902,0.11482737,1,-63.00977
dji,17426,22363.08796,276.4005842,22331.34961,1,1007.322997,31.73835214,0.001421246,Inf,5,2,0,-253.3761663,0.085441334,0,0
dji,17427,22355.74323,285.5013362,22331.34961,1,595.0484597,24.39361514,0.001092348,Inf,4,5,0,-253.6377371,0.003324372,0,0
dji,17428,22332.27812,279.3029944,22370.80078,1,1483.99555,38.52266281,0.001722006,Inf,5,5,0,-254.0105669,-0.075892157,0,0
dji,17429,22349.68623,278.2177657,22412.58984,1,3956.863702,62.90360643,0.002806619,Inf,5,5,0,-253.9578423,-0.096404697,-1,0
dji,17430,22388.84502,246.3036096,22359.23047,1,877.0212872,29.6145452,0.001324489,Inf,5,5,0,-261.744201,-0.078991309,0,53.35937
dji,17431,22339.69381,247.3267235,22349.58984,1,97.93144151,9.896031604,0.000442784,Inf,5,3,0,-261.6553041,-0.041442517,0,0
