"currency","train_start","forecast_actual","volatility","actual_val","num_forecast_vals","mspe","mae","mape","pm","optimal_p","optimal_q","optimal_d","optimal_aic"
"bitcoin_close",17501,9870.42801375671,1625.11624336958,10975.6,1,0.0112638760916609,0.106131409543362,0.0114077722532387,Inf,0,0,1,-93.6610814457536
"bitcoin_close",17502,11284.0390952274,1881.55581432177,11074.6,1,0.000351002469330623,0.0187350598966383,0.00201183806867092,Inf,1,0,1,-92.6304435724818
"bitcoin_close",17503,11122.7702249613,1860.67086136615,11323.2,1,0.000318956010685931,0.0178593395926594,0.00191323917239426,Inf,1,0,1,-92.629649505652
"bitcoin_close",17504,11071.7854705833,1855.45198869851,11657.2,1,0.00265472175433819,0.0515239920264161,0.00550253702732863,Inf,1,0,1,-92.6892346853786
"bitcoin_close",17505,11718.9743977128,1978.82615979504,11916.7,1,0.000279943295658748,0.0167315060786155,0.00178266012212867,Inf,1,0,1,-92.6260609382805
"bitcoin_close",17506,12008.4900972355,1924.18863463946,14291.5,1,0.0302937670374465,0.174051047217322,0.0181920562661358,Inf,1,0,1,-94.2761227990556
"bitcoin_close",17507,14704.484466521,2510.42878645904,17899.7,1,0.0386639231643856,0.196631439918406,0.0200797193926601,Inf,0,2,1,-81.810425764287
"bitcoin_close",17508,20729.4303265558,3656.29267693672,16569.4,1,0.0501745774649657,0.223996824676078,0.0230560587175647,Inf,0,3,1,-79.4609009865191
"bitcoin_close",17509,15924.7485567215,3749.01655954184,15178.2,1,0.00230536573082381,0.0480142242551498,0.00498713564334852,Inf,0,1,1,-69.6370179227024
"bitcoin_close",17510,15512.3099888412,2967.14133969257,15455.4,1,1.35088938055451e-05,0.00367544470854142,0.000381044348734015,Inf,1,1,1,-71.2147328824125
"bitcoin_close",17511,15892.7101567621,3034.00816965596,16936.8,1,0.00404855368745939,0.0636282459876067,0.00653452308185269,Inf,1,1,1,-71.5046189169264
"bitcoin_close",17512,19215.7543689794,3630.99218282767,17415.4,1,0.00967776071497607,0.0983756103664728,0.0100741936181812,Inf,0,1,1,-74.0611306082064
"bitcoin_close",17513,16732.8657770102,3200.66695047657,16408.2,1,0.000383908618392127,0.0195935861544569,0.00201880505801598,Inf,0,1,1,-76.8493523640417
"bitcoin_close",17514,15791.0718116257,3010.89816720931,16564,1,0.00228359360139127,0.0477869605791295,0.00491889086946941,Inf,0,1,1,-76.4409541954653
"bitcoin_close",17515,17404.4649620744,3254.77758951615,17706.9,1,0.000296790677441273,0.017227613805785,0.00176120682186576,Inf,0,1,1,-76.4266703339834
"bitcoin_close",17516,17985.9264912266,3356.51027093402,19497.4,1,0.00651112347565788,0.0806915328622395,0.00816878269887888,Inf,0,1,1,-78.4612102727011
"bitcoin_close",17517,20352.7869846827,3919.797372826,19140.8,1,0.003769428619067,0.061395672641213,0.00622700849823149,Inf,0,1,1,-77.4846633505471
"bitcoin_close",17518,18580.670587801,3649.92392095023,19114.2,1,0.000801438529400758,0.028309689673339,0.00287169337190509,Inf,0,1,1,-76.3089956478602
"bitcoin_close",17519,19586.6958299647,3860.4036576222,17776.7,1,0.00940161790802128,0.0969619405128697,0.0099085907480794,Inf,0,1,1,-75.7154203741747
"bitcoin_close",17520,17256.0197323374,3834.61149782856,16624.6,1,0.00138961398121143,0.0372775264899836,0.0038356736203101,Inf,0,1,1,-73.658430422115
"bitcoin_close",17521,16174.4231514996,3540.21422162182,15802.9,1,0.00053999113299706,0.0232377092889351,0.00240358217635398,Inf,0,1,1,-74.1212668256344
"bitcoin_close",17522,15651.1980692565,3421.8869562597,13831.8,1,0.0152713191574113,0.123577178950692,0.0129607483790619,Inf,0,1,1,-73.9318467830924
"bitcoin_close",17523,13233.6743560623,3118.0692982822,14699.2,1,0.0110309651978008,0.105028401862548,0.0109455341202915,Inf,0,1,1,-71.6804948514692
"bitcoin_close",17524,14663.2896541508,3597.78043855819,13925.8,1,0.00266295558994254,0.0516038330935071,0.00540835729513707,Inf,0,1,1,-68.0197378496068
"bitcoin_close",17525,14220.0579959139,3425.76625433221,14026.6,1,0.000187634544945854,0.0136979759433959,0.00143453668478055,Inf,0,1,1,-65.235674572063
"bitcoin_close",17526,12761.1816620602,2948.54923773073,16099.8,1,0.0540092808757285,0.232398969179574,0.0239918937282157,Inf,0,1,1,-65.1684205699319
"bitcoin_close",17527,14013.3515873926,3528.38111385744,15838.5,1,0.0149898700904002,0.122433124971963,0.0126608692777506,Inf,1,1,1,-63.7445819133742
"bitcoin_close",17528,15368.6819593311,3806.12384026389,14606.5,1,0.00258726497429553,0.0508651646443372,0.00530441000322852,Inf,1,1,1,-63.7382394437749
"bitcoin_close",17529,12856.2407476039,3171.06466326968,14656.2,1,0.0171699352026313,0.13103409938879,0.0136598881947142,Inf,1,1,1,-62.4674652012936
"bitcoin_close",17530,15631.8612169471,3996.51805182556,12952.2,1,0.0353611323484877,0.188045559236286,0.0198590287728804,Inf,1,1,1,-62.1900630207958
"bitcoin_close",17531,12662.0585030527,3773.45637329776,14156.4,1,0.0124449232357951,0.111556816178103,0.0116716599108605,Inf,0,1,1,-59.594196392088
"bitcoin_close",17532,14158.6126582219,4338.16470783753,13657.2,1,0.00130005332686497,0.0360562522576178,0.00378661714391375,Inf,0,0,1,-58.1756577141558
"bitcoin_close",17533,13154.3756632693,4039.48994848351,14982.1,1,0.0169264528233405,0.130101701846442,0.0135316650846831,Inf,0,0,1,-58.067045667417
"bitcoin_close",17534,15901.5270115193,4783.01518256543,15201,1,0.00202985642041133,0.0450539279132389,0.00467892645609165,Inf,0,0,1,-57.0332276755879
"bitcoin_close",17535,14872.0359017193,4033.35043298356,15599.2,1,0.00227881796347896,0.0477369664251821,0.00494428694748602,Inf,1,0,0,-57.3379511643026
"bitcoin_close",17536,15211.4229016675,3789.26305553613,17429.5,1,0.0185279794268374,0.136117520646085,0.0139380138568718,Inf,1,0,0,-64.0333457080152
"bitcoin_close",17537,16969.1137729988,4169.30691966064,17527,1,0.00104637333087159,0.0323476943671661,0.00331041309493334,Inf,1,0,0,-69.3561469806112
"bitcoin_close",17538,17431.7925728396,4036.52792343782,16477.6,1,0.00316899366870875,0.0562938155458372,0.00579765431903529,Inf,1,0,0,-70.7930675308651
